latitude,longitude,suitability,color_r,color_g,color_b
13.078279458886499,77.56326160701981,0.10355117479539436,255,179,50
12.971159829855356,77.7030985706345,0.08124846077303083,255,183,50
12.934068568193135,77.6198071383842,0.013756935987206328,255,197,50
12.961056804812007,77.63114290436648,0.15824931357940575,255,168,50
13.013670882718245,77.51836912907635,0.14069858278576125,255,171,50
13.054269539368581,77.52430920266184,0.1651990931513849,255,166,50
12.980026410229557,77.63134242200968,0.07316462035305792,255,185,50
13.004611338371756,77.61225415254928,0.1370690133557966,255,172,50
12.954728506999851,77.71950014504765,0.09447141924245898,255,181,50
12.867240743109269,77.5251868864602,0.040659651510713615,255,191,50
12.923339348366886,77.60864308748378,0.011482789859415516,255,197,50
12.96513100827693,77.76106147750654,0.40897757490290515,255,118,50
12.896211722274957,77.61112433500891,0.11824834455001745,255,176,50
13.097387022113729,77.5496338836819,0.1351240467865827,255,172,50
13.037380891142906,77.58771892739102,0.0724591565202198,255,185,50
12.91515408711448,77.61408395519521,0.04600277538815898,255,190,50
13.033971067631606,77.65678919511168,0.023284184081202423,255,195,50
12.922038245707965,77.73572233997969,0.09843861862849597,255,180,50
12.967002348312944,77.57869853830684,0.0992079670496985,255,180,50
12.935989796786583,77.69719311760413,0.17531597559209827,255,164,50
12.885261235656552,77.62206114769761,0.12380208831954433,255,175,50
12.931079644571398,77.64740658030433,0.18665929429188013,255,162,50
12.935340796554469,77.4899468736228,0.06888463474789046,255,186,50
12.90375567882764,77.66922037603281,0.08951809223705429,255,182,50
12.963989317689386,77.60906608129739,0.03441559652015631,255,193,50
12.91065710192909,77.52009616796809,0.018366702113629552,255,196,50
12.917305040072701,77.66936425609588,0.044863172066856305,255,191,50
13.052968560027258,77.65422775804433,0.14539184559439808,255,170,50
12.946192676015425,77.75808972955032,0.3608671159125055,255,127,50
12.938441159105833,77.72208639666626,0.040615940691440026,255,191,50
13.115831944923464,77.60236338044227,0.12044254916861218,255,175,50
13.040035584048443,77.5932752550559,0.08038679592419448,255,183,50
12.8639925137724,77.58040408816792,0.07650894752677005,255,184,50
12.972830164412613,77.5373034625237,0.018087125890149058,255,196,50
13.063864794652881,77.6488151714526,0.2577962783744239,255,148,50
12.976808296894534,77.68105200594434,0.09514238327626573,255,180,50
12.865929660836855,77.65777042388868,0.06828262775203886,255,186,50
12.958150660905861,77.65045581359627,0.02721985530352009,255,194,50
13.070692063536029,77.5078870466071,0.031234517155198253,255,193,50
12.93641518632016,77.65575214021142,0.2574161804109763,255,148,50
13.03226286160379,77.55725832511642,0.13338044286969733,255,173,50
12.861309609442852,77.5776142495573,0.05698815571544732,255,188,50
12.914082176336393,77.71905958630917,0.08825851829971254,255,182,50
12.98922563290933,77.52365032890512,0.12890463234541372,255,174,50
13.08128979115071,77.53287878427602,0.08602725707766833,255,182,50
12.939265450125161,77.6419666975819,0.3233698047822996,255,135,50
13.017993573143384,77.62897867000017,0.08450385554748398,255,183,50
12.923477054260877,77.59482929618514,0.0471062094661108,255,190,50
12.919958352971161,77.67491817842173,0.07573848359963549,255,184,50
13.02606723278757,77.63459210734251,0.02733865506445199,255,194,50
12.95176026925089,77.47352840043006,0.013964095480748092,255,197,50
12.937705533318068,77.52589434008664,0.05945523095829612,255,188,50
12.994565259223378,77.53199621036609,0.03316111501474026,255,193,50
13.070011704733533,77.57699987014436,0.01734966405615443,255,196,50
12.871711321298037,77.62192017831063,0.11788703545107167,255,176,50
13.061715656807234,77.59350143770145,0.03179459682029439,255,193,50
12.9596005010599,77.50400611418108,0.06418939974721524,255,187,50
13.021285772639237,77.57096663345328,0.17470020424393823,255,165,50
12.949964662799902,77.65589566943245,0.27487931737186244,255,145,50
12.934317179145353,77.59494135854042,0.09886490219714975,255,180,50
12.983751558324391,77.52912275917797,0.17405571725101932,255,165,50
12.977677579165077,77.59539062857637,0.0,255,200,50
12.908159142273242,77.49796667987937,0.17825979126359698,255,164,50
12.870030673521464,77.51692697669554,0.25244740300880514,255,149,50
12.946155378215357,77.49281775814606,0.03184625883147141,255,193,50
12.921710337721866,77.49810138224097,0.043816789782333804,255,191,50
12.934941774170921,77.53139314141455,0.11956260147748438,255,176,50
12.88218909138999,77.65794183851504,0.09044721381440875,255,181,50
12.909090618835798,77.67756523204474,0.11422942034026823,255,177,50
12.92588310505996,77.62524775854773,0.09279475171264293,255,181,50
13.03835649691187,77.4882091189109,0.29508787783731166,255,140,50
12.973725630731545,77.71694320412112,0.03457507378954694,255,193,50
13.035646262786813,77.4881820220067,0.21376278748956756,255,157,50
12.933450898677439,77.6805879502711,0.040886604426475015,255,191,50
13.066800491535137,77.6267299776172,0.05060884449916925,255,189,50
12.982284917082083,77.67558366063635,0.0632470302300312,255,187,50
13.061012878723242,77.66260707043656,0.0486909038153329,255,190,50
13.01262967025151,77.62339413436257,0.13974707337047793,255,172,50
13.082918988546165,77.64072439419212,0.021526155669548897,255,195,50
12.974240544165912,77.66720717437366,0.05279311044243563,255,189,50
13.02927841352003,77.58487045212722,0.017848838770051178,255,196,50
12.921894712874044,77.47876048766526,0.13089072497397458,255,173,50
12.9748015433696,77.61194242855608,0.024860453110907267,255,195,50
12.963315997850298,77.67538075428644,0.10891567530045275,255,178,50
13.04592236514557,77.54634071210906,0.08122770065123976,255,183,50
13.010170100975817,77.59849237931935,0.24945683011312403,255,150,50
13.059958367162647,77.4967196276923,0.12515837342600983,255,174,50
13.05082012911206,77.59891665368157,0.10384320933344089,255,179,50
12.8892138008778,77.4950157441311,0.5296439302290962,255,94,50
12.856426548773824,77.52231622641148,0.16190577992174207,255,167,50
12.975132519887614,77.57878234435913,0.07497180965147722,255,185,50
13.073294608682053,77.51897286837352,0.26431630482969726,255,147,50
13.025181811754045,77.72026734387512,0.1456810882153606,255,170,50
12.963654764385044,77.64222388552392,0.004415898799370044,255,199,50
12.997646809179209,77.76142070404875,0.008051194082537537,255,198,50
12.84217580146424,77.59399207893425,0.2248237879572555,255,155,50
12.905316501984816,77.51175360697025,0.11653503890780154,255,176,50
13.072444376728896,77.60467233598288,0.0828770535261437,255,183,50
13.000306966835142,77.49888568370251,0.3399932239353542,255,132,50
12.99320957454984,77.66740963753382,0.10433733136630763,255,179,50
12.918546478782396,77.54504341106201,0.10415469189950133,255,179,50
13.043293722240538,77.5380203287096,0.1669968304212343,255,166,50
