name,candidate_points,avg_suitability,max_suitability
Jalahalli,10,0.07707724792379521,0.1995851665109398
Mahadevapura,18,0.07686528060514353,0.1929780786246264
Uttarahalli,10,0.07492931437243548,0.1721299854041805
Sadashiva Nagara,28,0.07488326083496417,0.1747002042439382
Shivanasamudra Ward,29,0.07417495757415848,0.1606043437121965
Bharath Aikya Ward,20,0.07246556474962847,0.2985833513983426
A Adugodi,12,0.07182739413410567,0.1857938769290835
Nagarbhavi,13,0.07093985296391937,0.1373834010031001
Jakkur,39,0.06966375207037608,0.2373399797612861
Nagadevanahalli,15,0.06703293436946238,0.1677108227312459
Srigandada Kaval,12,0.06608811988277323,0.1128922469509241
Dodda Nekkundi,22,0.06585740402263819,0.1715584410497393
Banaswadi,15,0.06541523356378892,0.1424294163222158
Kengeri,11,0.0641151491267527,0.1232311754380377
Doddabommasandra,21,0.06302041498055262,0.1914611772553643
Doresanipalya,11,0.0626382042377177,0.1219670274520759
Bagalagunte,12,0.061430062781889894,0.1893446506818663
Mallathahalli,11,0.060294306175029684,0.1577411090273421
Sunkenahalli,10,0.06011352036925062,0.1628035319848915
Malleshwaram,17,0.06007779028275486,0.123297079666114
Singapura,13,0.05882236503878558,0.1466935964543465
Ashokanagar,23,0.05759542241825411,0.1232751189854673
Arakere,10,0.05291560286432835,0.08669015491539
Bhoopasandra,13,0.052650703257916494,0.1338228142137777
RBI Layout,12,0.04791438939010553,0.1166069452636001
Kormangala East,15,0.04637611849100116,0.0989598187282667
Nehru Nagar,11,0.04588098623161272,0.1016227149591734
Sampangirama Nagar,23,0.04349311932694931,0.1580375006474675
Yelahanka Satellite Town,22,0.038044644696121274,0.1045139479391793
Vinayaka Layout,14,0.033731473174880636,0.0641893997472152
HSR Layout,19,0.03215692982254736,0.1014128031541178
Ashoka Pillar,10,0.02056312026716833,0.0772880867325925
