latitude,longitude,dist_to_park,suitability
12.88126661834417,77.47559739413094,3189.2253100077023,1.0
12.881240480980596,77.47835995814357,2956.521479565335,0.9270343711019259
12.87853019393797,77.47833330488213,2934.0612441822177,0.9199918346863777
12.96760512173598,77.7831942425637,2789.158003948567,0.8745565875186884
12.883924595276437,77.4811492050598,2717.240281711553,0.8520063706960204
12.970314723778301,77.78322438619851,2696.5945644387575,0.8455327869049944
12.881214314536193,77.48112251606935,2659.152284852597,0.8337925440727719
12.878504033181855,77.48109583317253,2634.1577400599404,0.8259553603171357
12.889318942304671,77.48396524210071,2539.3108156854987,0.7962155598468413
12.88660866848795,77.4839385112667,2527.008159460622,0.7923579909926525
